1.55945	-0.138501	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.72595	0.0270799	2.29667	-0.203978	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.97577	-0.139191	2.28194	-0.169029	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
4.09819	0.202499	2.39053	0.17371	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.59704	0.378699	2.43596	0.180379	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.53385	0.477151	2.41146	0.321342	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
8.97324	0.781865	2.42661	0.296043	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
8.97992	0.887521	2.44334	0.44666	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.4721	1.37385	2.46365	0.494084	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.4569	1.42583	2.45274	0.561921	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.8393	2.02327	2.41737	0.609753	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.8126	2.0218	2.42795	0.613838	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.3542	2.68635	2.47757	0.659471	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.369	2.839	2.52158	0.835286	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
18.9223	3.68262	2.53595	0.841078	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
18.9708	3.77612	2.49449	0.92109	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.4327	4.70025	2.47885	0.927082	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.5295	4.72691	2.56413	0.954643	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0854	5.6578	2.56192	0.933329	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.2875	5.82763	2.72664	1.09511	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.9124	6.92117	2.67833	1.10284	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.8432	6.96358	2.68347	1.15934	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5405	8.11574	2.69053	1.15207	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.5307	8.22645	2.70517	1.2557	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
32.1746	9.57981	2.66971	1.34043	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
32.0343	9.56204	2.57675	1.32758	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.6066	10.8368	2.5779	1.28638	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.7538	10.8949	2.66599	1.32872	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.3457	12.1794	2.63315	1.30061	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.4067	12.2453	2.68362	1.35676	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.1478	13.5641	2.71323	1.32459	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
40.0542	13.6302	2.65895	1.37759	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
42.7236	14.9515	2.66694	1.33638	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
42.7158	15.0057	2.70217	1.39479	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
45.4044	16.4502	2.6932	1.43059	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
